id,title,fulltitle,thumbnail,description,duration,view_count,like_count,average_rating,comment_count,channel_id,channel,channel_follower_count,uploader,uploader_id,availability,live_status,is_live,was_live,age_limit,_has_drm,_type,whisper_lang,whisper_probability,accessible_in_youtube_music,related_to,release_year,upload_date,categories,tags,chapters,automatic_captions,subtitles,release_date,album,artist,track
hfNJV-t3RJM,Transmisión de PS4 en directo de jolexnxx,Transmisión de PS4 en directo de jolexnxx,https://i.ytimg.com/vi/hfNJV-t3RJM/maxresdefault.jpg,Ultimate Dance 💎,1976,12,1,,,UC7bbFNUrfW9LdlAtDrneaog,Christopher Sotos quishpe,35,Christopher Sotos quishpe,@christophersotosquishpe7836,public,was_live,False,True,0,,video,es,0.9071,FALSE,0,2020,8/7/2020,Gaming,"[""#PS4Live"", ""PlayStation 4"", ""Sony Interactive Entertainment"", ""Fortnite""]",null,"[""es-orig""]","[""live_chat""]",20200806,,,
wTHkD-2NLCw,Nuevo Record Personal en Duo - Fortnite,Nuevo Record Personal en Duo - Fortnite,https://i.ytimg.com/vi/wTHkD-2NLCw/hqdefault.jpg,,343,23,1,,1,UC2W03QiKbrvHRepDE2ETxYQ,¿Na’?,49,¿Na’?,@na5710,public,not_live,False,False,0,,video,es,0.9028,FALSE,0,,10/20/2018,Gaming,"[""#PS4share"", ""PlayStation 4"", ""Sony Interactive Entertainment"", ""Fortnite"", ""SOB_Toledo""]",null,"[""es-orig""]",[],,,,
ClRKm-mFm4k,video para química,video para química,https://i.ytimg.com/vi/ClRKm-mFm4k/maxresdefault.jpg,,268,6,0,,,UCm7KB0VVZCk4SdIRFKWFldg,Mitzi Villordo,2,Mitzi Villordo,@mitzivillordo9793,public,not_live,False,False,0,,video,es,0.9965,FALSE,0,,2/22/2015,People & Blogs,[],null,"[""es-orig""]",[],,,,
IYLps-pz8R8,Kinesiología,Kinesiología,https://i.ytimg.com/vi/IYLps-pz8R8/sddefault.jpg,,164,2054,,,,UCl4iSpv9nFjR_5WGZ_WAuFA,INACAP,22200,INACAP,@CANALINACAP,public,not_live,False,False,0,,video,es,1,FALSE,0,,12/15/2015,Science & Technology,"[""inacap"", ""canal inacap"", ""universidad"", ""chile"", ""profesionales"", ""ip"", ""cft"", ""centro de formaci\u00f3n t\u00e9cnica"", ""instituto profesional""]",null,"[""es-orig""]",[],,,,
mxaCY-W2QPg,"GUÍA DEL AUTOESTOPISTA GALÁCTICO 24, Audiolibro","GUÍA DEL AUTOESTOPISTA GALÁCTICO 24, Audiolibro",https://i.ytimg.com/vi/mxaCY-W2QPg/maxresdefault.jpg,"La Guía del autoestopista galáctico (The Hitchhiker's Guide to the Galaxy en inglés) es una novela de ciencia ficción de Douglas Adams publicada en octubre de 1979. Es el primer libro de seis que conforman la famosa serie de la Guía del autoestopista galáctico, que fue originalmente una radiocomedia escrita por el mismo autor en 1978.

El título del libro fue inspirado en la guía Hitch-hiker's Guide to Europe para viajar en autoestop por Europa. La saga de la Guía del autoestopista galáctico ha sido difundida de diferentes maneras, incluyendo una serie de televisión, un videojuego, un cómic y hasta una dramatización teatral, convirtiendo a su autor en una figura influyente en el campo de la ciencia ficción y la comedia.Un exposé plus ou moins correcte (ou pas...)",880,952,32,,,UCb3J3gsRTmUHY1lBK_Y2p9w,Angel Geldhof,927,Angel Geldhof,@AngelGeldhof,public,not_live,False,False,0,,video,es,0.9989,TRUE,0,2021,4/13/2021,Education,"[""Douglas Adams"", ""Gu\u00eda del autoestopista gal\u00e1ctico"", ""The Hitchhiker's Guide to the Galaxy"", ""ciencia ficci\u00f3n"", ""humor absurdo"", ""Audiolibro gratis"", ""sin monetizar"", ""castellano""]",null,"[""es-orig""]","[""live_chat""]",20210413,,,
yuqVc-scj2w,Dia de las madres,Dia de las madres,https://i.ytimg.com/vi/yuqVc-scj2w/hqdefault.jpg,Celebrando en mi casa el dia de las madres con la familia Cardona.,53,163,,,,UCh8Rekc0UHt7RT8H1nY0ItA,katt Elizabeth,28,katt Elizabeth,@kpersephone,public,not_live,False,False,0,,video,es,0.9295,FALSE,0,,5/12/2008,People & Blogs,"[""dia"", ""de"", ""las"", ""madres"", ""familia"", ""cardona"", ""katia"", ""castro""]",null,[],[],,,,
lPVfX-Y8_ew,Mis nuevos lps,Mis nuevos lps,https://i.ytimg.com/vi_webp/lPVfX-Y8_ew/maxresdefault.webp,Esta súper mis nuevos lps no?,121,19,4,,1,UC1M0RKY-fUxxLcrAAwG6koQ,analia eginini,8,analia eginini,@analiaeginini7050,public,not_live,False,False,0,,video,es,0.9728,FALSE,0,,6/21/2018,People & Blogs,[],null,[],[],,,,
hYpeB-3AneI,DESAYUNO PARA EL ALMA OCTUBRE 11,DESAYUNO PARA EL ALMA OCTUBRE 11,https://i.ytimg.com/vi/hYpeB-3AneI/sddefault.jpg,"QUE MEJOR MANERA DE CONOCER EL DIA QUE CON UN BUEN DESAYUNO PARA EL ALMA.
SIGUENOS EN FACEBOOK: PASTOR DUVAN ALVARADO
www.avivainternacional.com",283,134,2,,,UCrnpx4_FmwrqWyaBUm5nRNg,Desayuno Para el Alma Tv,1470,Desayuno Para el Alma Tv,@desayunoparaelalmatv9162,public,not_live,False,False,0,,video,es,0.9969,FALSE,0,,12/8/2017,People & Blogs,[],null,"[""es-orig""]",[],,,,
khqHU-LBIck,Conosiendo nuestra casa,Conosiendo nuestra casa,https://i.ytimg.com/vi/khqHU-LBIck/sddefault.jpg,mediano,285,16,1,,,UCYaD4PU0oU1uYlZyxrpsH-g,Mildred Adamari Sarmiento López,4,Mildred Adamari Sarmiento López,@mildredadamarisarmientolop339,public,not_live,False,False,0,,video,es,0.9905,FALSE,0,,8/16/2017,People & Blogs,[],null,"[""es-orig""]",[],,,,
APdTF-ZT3DQ,FRAPS 1920x1080 50fps - EDITADO CON CAMTASIA!,FRAPS 1920x1080 50fps - EDITADO CON CAMTASIA!,https://i.ytimg.com/vi/APdTF-ZT3DQ/maxresdefault.jpg,PROBANDO SI PIERDO CALIDAD O NO,22,110,5,,19,UCL5_Iu0nAbMCwUOSzVe-R6A,Alexis Morinigo,66,Alexis Morinigo,@alexismorinigo512,public,not_live,False,False,0,,video,es,0.9399,FALSE,0,,4/5/2017,Gaming,[],null,"[""es-orig""]",[],,,,
bJibX-duOgs,9 de diciembre de 2017,9 de diciembre de 2017,https://i.ytimg.com/vi_webp/bJibX-duOgs/maxresdefault.webp,,20,2,0,,,UC47oDcXzN5FEaUPbNC_laaQ,Yasmany Pagan,,Yasmany Pagan,@yasmanypagan8790,public,not_live,False,False,0,,video,es,0.8702,FALSE,0,,12/10/2017,People & Blogs,[],null,[],[],,,,
ryBuZ-OSfbE,Chicos del wepa,Chicos del wepa,https://i.ytimg.com/vi/ryBuZ-OSfbE/maxresdefault.jpg,😎😎😎,113,1361,8,,,UCKkXLuHlx3rtwSDDGMRODdw,Marcos Medina,17,Marcos Medina,@marcosmedina8814,public,not_live,False,False,0,,video,es,0.7745,FALSE,0,,3/6/2018,People & Blogs,[],null,[],[],,,,
OmCOG-OyHVE,Tachy Peralta  - disparo al corazón (audio oficial),Tachy Peralta  - disparo al corazón (audio oficial),https://i.ytimg.com/vi/OmCOG-OyHVE/maxresdefault.jpg,#Tachyperalta #disparoalcorazon #bachata,221,69,1,,,UCyikU_7AZrkH044nPC2KTjw,Tachy Peralta ,12,Tachy Peralta ,@Tachyperalta,public,not_live,False,False,0,,video,es,0.9962,TRUE,0,,5/9/2024,People & Blogs,"[""#InShot""]",null,"[""es-orig""]",[],,,,
YzZhn-3x0CQ,29 julio Graciela Rodriguez parte 2,29 julio Graciela Rodriguez parte 2,https://i.ytimg.com/vi/YzZhn-3x0CQ/sddefault.jpg,29 julio Graciela Rodriguez parte 2,726,10,0,,,UCzvhAOHAin1o7MoQGEdhflw,loque faltaba,60,loque faltaba,@loquefaltaba7659,public,not_live,False,False,0,,video,es,0.9976,FALSE,0,,7/30/2020,People & Blogs,[],null,"[""es-orig""]",[],,,,
NwkWW-E_PMw,13 de agosto de 2022,13 de agosto de 2022,https://i.ytimg.com/vi/NwkWW-E_PMw/hq720_2.jpg?sqp=-oaymwEdCJUDENAFSFXyq4qpAw8IARUAAIhCcAHAAQbQAQE=&rs=AOn4CLAuCROoPVAmYIktO_jqzA8lQ0tz0Q,,60,42,13,,,UCqsnRuSl_q4Pd8cczyHTe8A,domenic lungu,19,domenic lungu,@domeniclungu694,public,not_live,False,False,0,,video,es,0.9929,FALSE,0,,8/13/2022,People & Blogs,[],null,"[""es-orig""]",[],,,,
WwZOt-vFb8A,jugando clash royale tratando de completar el desafío de las 15 arenas,jugando clash royale tratando de completar el desafío de las 15 arenas,https://i.ytimg.com/vi/WwZOt-vFb8A/maxresdefault.jpg,,1213,1,0,,,UCckJfBJpJAie6ciPUckAO9Q,Noelia Gutiérrez,19,Noelia Gutiérrez,@noeliagutierrez4992,public,not_live,False,False,0,,video,es,0.9903,FALSE,0,,1/28/2022,People & Blogs,[],null,"[""es-orig""]",[],,,,
PndPC-Y8Syc,PIERDE PESO CON TE  DIVINA 🇧🇴🇵🇪🇪🇨🇱🇷🇧🇷🇺🇾🇵🇾🇲🇽,PIERDE PESO CON TE  DIVINA 🇧🇴🇵🇪🇪🇨🇱🇷🇧🇷🇺🇾🇵🇾🇲🇽,https://i.ytimg.com/vi/PndPC-Y8Syc/sddefault.jpg?sqp=-oaymwEmCIAFEOAD8quKqQMa8AEB-AHmAoAC6AKKAgwIABABGGUgXihSMA8=&rs=AOn4CLBMLL6xW5RLhFS7BpydjsGdZ7ZRNg,"👀Conoces a alguien que tenga problemas de salud como👇‼️
⛔ Estreñimiento ⛔Mala Digestión 
⛔Colitis                ⛔Gastritis 
⛔Diabetes           ⛔Sobrepeso

Somos una gran familia👪👪 Vida Divina 
✅Detalles 👇👇👇http://bit.ly/Rodolfo_VidaDivina

✅adquiere  tu Te Divina 👇http://bit.ly/MasinformaciondelTe

🛑📱whatsapp  +591 75034089
.
ENVÍOS 52 PAÍSES 🛫🌍🇺🇸🇵🇪🇨🇱🇧🇴🇺🇾🇦🇷🇨🇴🇪🇨🇲🇽🇵🇾🇧🇷

Suigueme  en:
🚨Facebook @soyrodolfopaz
🚨Instagram @soyrodolfopaz
🚨You tube   rodolfo paz
.
#SantaCruztedivina #LaPaztedivina #cochabamba #riberalta
#tarija #sucre #potosi #asuncionvidadivina #vidadivinaciudaddeleste
#vidadivinaperu #tedivina #hcgreactor
#vidadivinabolivia #mlm #trabajadesdecasa
#vidadivinaparaguay #tedivinaargentina #vidadivinabuenosaires #vidadivina2020
#soyrodolfopaz #bajadepeso
#ingresos #vidadivinauruguay #fitnnes #gim 
#residual",102,22,2,,,UCC_cP9MDVTEZ-qxHZj1Y95w,Rodolfo Lima,72,Rodolfo Lima,@rodolfolimach,public,not_live,False,False,0,,video,es,0.9965,FALSE,0,,3/30/2020,Entertainment,[],null,"[""es-orig""]",[],,,,
imiEP-SZtuo,Illary,Illary,https://i.ytimg.com/vi_webp/imiEP-SZtuo/maxresdefault.webp,Illary,345,5,1,,,UCaGII3utdFSn87IBC_S15tA,mayerly quelal,,mayerly quelal,@mayerlyquelal2331,public,not_live,False,False,0,,video,es,0.9716,FALSE,0,,7/6/2017,People & Blogs,[],null,[],[],,,,
MjOGy-QZY74,CACAILAND EP 2 (PARTE 2 ) SIN EDITAR XD,CACAILAND EP 2 (PARTE 2 ) SIN EDITAR XD,https://i.ytimg.com/vi/MjOGy-QZY74/sddefault.jpg?sqp=-oaymwEmCIAFEOAD8quKqQMa8AEB-AH-BIAC6AKKAgwIABABGGUgYChDMA8=&rs=AOn4CLC44V6-rfZ8X9YMIasdSKlC0qk86A,"like y suscribete para mas y episodio 3 

especial 250 ya casi 🎉🎉🎉🎊🎉🎊🎊🎊🎉",970,60,8,,18,UCHXo6551hjm7661RUDvWyfg,Cacai 2659,1070,Cacai 2659,@Cacai2659,public,not_live,False,False,0,,video,es,0.9907,FALSE,0,,9/20/2021,Gaming,[],null,"[""es-orig""]",[],,,,
FaCIX-dxP8M,healthy breakfast idea #simplereciepe #healthy #foodhacks,healthy breakfast idea #simplereciepe #healthy #foodhacks,https://i.ytimg.com/vi/FaCIX-dxP8M/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYZSBeKFUwDw==&rs=AOn4CLCHQivkS8pNwAPxvCNqLparqhPjTA,,33,0,0,,,UCR3h4xX3bZXEirSRPnRbQ3g,mintiktokfood Hacks,4,mintiktokfood Hacks,@mintiktokfoodHacks,public,not_live,False,False,0,,video,es,0.9525,FALSE,0,,11/28/2023,People & Blogs,[],null,"[""es-orig""]",[],,,,
ENTrR-bYZkg,Toda mi Vida,Toda mi Vida,https://i.ytimg.com/vi_webp/ENTrR-bYZkg/maxresdefault.webp,"Provided to YouTube by Play Music Perú

Toda mi Vida · Los Kipus

Por los Caminos de América

℗ 1982 Play Music Perú

Released on: 1982-07-20

Composer: Oswaldo Farres

Auto-generated by YouTube.",184,422,11,,,UCQs4HumbzwgqMMo-rjdfAEA,Los Kipus Oficial Perú,22300,Los Kipus Oficial Perú,,public,not_live,False,False,0,,video,es,0.9049,TRUE,0,1982,9/14/2023,Music,"[""Los Kipus"", ""Por los Caminos de Am\u00e9rica"", ""Toda mi Vida""]",null,[],[],,Por los Caminos de América,Los Kipus,Toda mi Vida
lGVEl-rPBEs,"Solución problema profundización, Fuerzas","Solución problema profundización, Fuerzas",https://i.ytimg.com/vi_webp/lGVEl-rPBEs/maxresdefault.webp,,252,21,2,,,UCLxP916XZDRnf05CWrD6wSQ,Mayerly muñoz zamora,35,Mayerly muñoz zamora,@mayerlymunozzamora9011,public,not_live,False,False,0,,video,es,0.9999,FALSE,0,,7/21/2020,Education,[],null,"[""es-orig""]",[],,,,
azqFV-Z5fsU,AMONG US (SERIE P1),AMONG US (SERIE P1),https://i.ytimg.com/vi_webp/azqFV-Z5fsU/maxresdefault.webp,"Hola bienvenidos a este nuevo video, en este video vais a ver como he jugado a among us, voy ha hacer una serie sobre esto y esta es la parte 1

Pasaros por este canal:
https://www.youtube.com/channel/UCnP_RtZT0B3501RAGkiI3yA

El de Miguel y mio y subiremos cosas cuando estemos juntos :)

RECUERDA: SUSCRIBETE SI QUIERES VER MAS COSAS DE ESTE TIPO, DALE A LIKE Y CONPARTELO CON TUS AMIGOS ;)

ESPERO QUE OS HUBIERA GUSTADO 🌵
CHAOO👋🏻",743,69,4,,,UCnQp5Ng-spDU8FuCBtDwcsA,Rupesan,41,Rupesan,@rupesan2021,public,not_live,False,False,0,,video,es,0.982,FALSE,0,,12/6/2020,People & Blogs,[],null,"[""es-orig""]",[],,,,
HmRJg-xKryE,Si beo a tu mama,Si beo a tu mama,https://i.ytimg.com/vi/HmRJg-xKryE/sddefault.jpg,Por favos mis amores me pueden seguir en instagran sergioamtoni,157,20,2,,,UC4-WNCfc2TMxE_uMmseUewA,Sergio Amtoni,1,Sergio Amtoni,@sergioamtoni7628,public,not_live,False,False,0,,video,es,0.9982,TRUE,0,,5/10/2020,People & Blogs,[],null,[],[],,,,
ROMjx-gxnXI,Fitoterapia Campos está en vivo,Fitoterapia Campos está en vivo,https://i.ytimg.com/vi/ROMjx-gxnXI/maxresdefault.jpg,,3192,2818,49,,1,UC1nk-9QnWGq2GM-zJ21pUaQ,Fitoterapia Campos,125000,Fitoterapia Campos,@FitoterapiaCampos,public,was_live,False,True,0,,video,es,0.9969,FALSE,0,2024,2/13/2024,Howto & Style,[],null,"[""es-orig""]","[""live_chat""]",20240213,,,
wRvem-J3huM,LA COMISARÍA DE HUARMEY CONSTRUYE VIVIENDA A UNA FAMILIA DE EXTREMA POBREZA.,LA COMISARÍA DE HUARMEY CONSTRUYE VIVIENDA A UNA FAMILIA DE EXTREMA POBREZA.,https://i.ytimg.com/vi_webp/wRvem-J3huM/maxresdefault.webp,"La División Policial Chimbote a través de la Comisaría Huarmey cumplió el sueño de tener una casa propia a una familia vulnerable del AA.HH Las Salinas en la Provincia de Huarmey.

El trabajo de construcción estuvo a cargo de todo el personal que integra la COM Huarmey.",233,27,1,,,UCATBwB49CO4PgrIFco2trXw,DIVISIÓN POLICIAL CHIMBOTE,128,DIVISIÓN POLICIAL CHIMBOTE,@divisionpolicialchimbote6219,public,not_live,False,False,0,,video,es,0.9993,FALSE,0,2020,11/3/2020,News & Politics,[],null,"[""es-orig""]",[],20201103,,,
kyfiY-TKJAY,EVY SKYDIVING 2018,EVY SKYDIVING 2018,https://i.ytimg.com/vi/kyfiY-TKJAY/maxresdefault.jpg,,201,13,1,,,UCKLMN_0rwfFl0wqz5KwoC6w,Jorge Torres,4,Jorge Torres,@pitbullx22,public,not_live,False,False,0,,video,es,0.7645,FALSE,0,,11/23/2021,People & Blogs,[],null,[],[],,,,
uyrYC-krPWs,30 de marzo de 2024,30 de marzo de 2024,https://i.ytimg.com/vi/uyrYC-krPWs/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4Ac4FgAKACooCDAgAEAEYQCBNKH8wDw==&rs=AOn4CLD-9e9KARrSByFCNQ7J5AYitjQotg,,12,1,0,,,UCGWWEwXHGF6RDANV-OPTL2w,Fabiola ariana Flores leiva,372,Fabiola ariana Flores leiva,@fabiolaarianafloresleiva,public,not_live,False,False,0,,video,es,0.9892,FALSE,0,,3/30/2024,People & Blogs,[],null,"[""es-orig""]",[],,,,
KWGKU-Qmx8A,EBOLA :: Second Halo CE Montage - The Oportunist,EBOLA :: Second Halo CE Montage - The Oportunist,https://i.ytimg.com/vi/KWGKU-Qmx8A/maxresdefault.jpg,"#Halo #HaloCE #HaloScrim

Llevaba un tiempo sin jugar asi que por mientras decidi hacer mi segundo montage. Dedicado a todos con los que he jugado. :D

► Halo CE:Custom Edition - https://mega.nz/#!aFcUjbQT!2P550JQs1s6lHIyduYH800LmzV5lCQLVNFBEtPd2UzA",194,351,18,,10,UCypPHU5npWyVH_276Z-L01A,EBOLAtugfe,324,EBOLAtugfe,@EBOLAtugfeTV,public,not_live,False,False,0,,video,es,0.7919,FALSE,0,,11/17/2015,Gaming,[],null,[],[],,,,
CNPqI-e1eSc,Oraciones compuestas subordinadas sustantivas con nexo,Oraciones compuestas subordinadas sustantivas con nexo,https://i.ytimg.com/vi/CNPqI-e1eSc/sddefault.jpg?sqp=-oaymwEmCIAFEOAD8quKqQMa8AEB-AH-BIAC6AKKAgwIABABGH8gRigkMA8=&rs=AOn4CLAps-lomr9dGAAXkNJA8BcNKv3aMA,,733,427,10,,,UC2x3k_4OxzcBGne5sJlmG0g,Juan Carlos Juárez (El sintaxista),53,Juan Carlos Juárez (El sintaxista),@elsintaxista,public,not_live,False,False,0,,video,es,0.9993,FALSE,0,,3/13/2021,Education,"[""Sintaxis"", ""Oraciones"", ""Oraciones compuestas"", ""sintaxis"", ""oraciones"", ""oraciones compuestas"", ""sustantivas"", ""subordinadas"", ""Subordinadas"", ""Sustantivas"", ""Subordinadas sustantivas"", ""subordinadas sustantivas""]",null,[],[],,,,
PZDJO-aBMdo,Ice Age.wmv,Ice Age.wmv,https://i.ytimg.com/vi/PZDJO-aBMdo/hqdefault.jpg,,366,104,0,,,UClMtJfetQyPuC2lz5WfL3Bg,arqv1va,1,arqv1va,@arqv1va,public,not_live,False,False,0,,video,es,0.7901,FALSE,0,,12/24/2009,People & Blogs,"[""Ice"", ""Age""]",null,[],[],,,,
JMaLE-Hrby4,Call of duty WarZone,Call of duty WarZone,https://i.ytimg.com/vi/JMaLE-Hrby4/maxresdefault.jpg,Support the stream: https://streamlabs.com/spm_googleme,4530,3,1,,,UCgE5f5wFUon6WAR9xmsAL5A,SPM_GoogleMe,46,SPM_GoogleMe,@spm_googleme3222,public,was_live,False,True,0,,video,es,0.911,FALSE,0,2020,4/21/2020,Entertainment,[],null,"[""es-orig""]",[],20200421,,,
